성명,본인재산(원),배우자재산(원),총재산(원),배우자비율(%)
김은혜,1117448000.0,33442883000.0,34560331000.0,96.8
엄태영,62615000.0,1265599000.0,1328214000.0,95.3
양부남,637070000.0,12289080000.0,12926150000.0,95.1
이개호,178914000.0,2982457000.0,3161371000.0,94.3
양문석,145293000.0,2174766000.0,2320059000.0,93.7
이관후,181245000.0,2549718000.0,2730963000.0,93.4
김위상,266774000.0,2506438000.0,2773212000.0,90.4
강득구,224420000.0,2095720000.0,2320140000.0,90.3
황희,93031000.0,738730000.0,831761000.0,88.8
박상혁,357311000.0,2754228000.0,3111539000.0,88.5
